Wall time,Step,Value
1543523893.695382,1732,174.0
1543523893.797994,1734,179.0
1543523893.840749,1735,95.0
1543523893.9109938,1737,62.0
1543523894.1596549,1742,68.0
1543523894.2144482,1743,139.0
1543523894.327067,1745,200.0
1543523894.426188,1746,200.0
1543523894.496382,1747,139.0
1543523894.679759,1750,128.0
1543523894.840898,1752,177.0
1543523894.96048,1754,200.0
1543523895.553418,1763,87.0
1543523895.7392588,1766,164.0
1543523896.2675352,1775,200.0
1543523896.609304,1781,200.0
1543523896.6375082,1782,50.0
1543523897.113152,1788,200.0
1543523897.193768,1789,200.0
1543523897.2517729,1790,153.0
1543523897.364531,1792,200.0
1543523897.7650392,1798,200.0
1543523898.174556,1804,164.0
1543523898.245483,1805,200.0
1543523898.690722,1813,200.0
1543523898.755435,1814,175.0
1543523898.9999518,1817,200.0
1543523899.183757,1820,114.0
1543523899.522988,1824,200.0
1543523899.682969,1826,200.0
1543523899.905921,1830,12.0
1543523900.296864,1836,172.0
1543523900.6113439,1840,200.0
1543523900.659462,1841,62.0
1543523900.8728662,1844,153.0
1543523901.202924,1849,200.0
1543523901.452949,1853,200.0
1543523901.596035,1855,200.0
1543523901.74896,1857,200.0
1543523901.8801322,1859,200.0
1543523902.298666,1866,200.0
1543523902.421715,1868,119.0
1543523902.4920561,1869,200.0
1543523902.850446,1875,82.0
1543523902.903806,1876,135.0
1543523902.944132,1877,95.0
1543523903.052244,1879,121.0
1543523903.1864152,1881,170.0
1543523903.9320362,1893,200.0
1543523904.572007,1902,200.0
1543523904.908422,1906,200.0
1543523905.248975,1911,200.0
1543523905.345193,1912,200.0
1543523905.7057128,1917,196.0
1543523905.756253,1918,110.0
1543523905.828332,1919,200.0
1543523906.1385448,1923,200.0
1543523906.232783,1924,200.0
1543523906.807101,1930,200.0
1543523907.0360289,1934,200.0
1543523907.0963619,1935,157.0
1543523907.1557472,1936,156.0
1543523907.299258,1938,200.0
1543523907.362313,1939,161.0
1543523907.732173,1944,200.0
1543523907.921095,1947,200.0
1543523908.0442061,1949,134.0
1543523908.226486,1952,155.0
1543523908.423358,1955,200.0
1543523908.6302662,1958,166.0
1543523908.7764769,1960,200.0
1543523909.225722,1967,167.0
1543523909.381644,1969,200.0
1543523909.54914,1971,200.0
1543523910.0677388,1980,110.0
1543523910.124001,1981,134.0
1543523910.213017,1982,200.0
1543523910.297633,1983,200.0
1543523911.32714,1997,200.0
1543523911.614645,2001,200.0
1543523911.8998551,2005,200.0
1543523911.975002,2006,200.0
1543523912.196703,2009,200.0
1543523912.268715,2010,200.0
1543523912.471309,2013,124.0
1543523912.623944,2015,200.0
1543523912.705423,2017,83.0
1543523913.0755231,2022,200.0
1543523913.272066,2025,200.0
1543523913.438933,2027,200.0
1543523913.635854,2030,72.0
1543523913.834948,2033,200.0
1543523914.0495942,2036,200.0
1543523914.19697,2038,200.0
1543523914.4221098,2041,200.0
1543523914.640938,2044,200.0
1543523914.693076,2045,132.0
1543523914.875147,2048,144.0
1543523915.098264,2051,200.0
1543523915.649199,2060,39.0
1543523915.7954319,2062,200.0
1543523916.173116,2067,200.0
1543523916.5258958,2072,200.0
1543523916.601418,2073,200.0
1543523916.6836228,2074,200.0
1543523916.8282151,2076,200.0
1543523916.908427,2077,200.0
1543523917.0730822,2079,200.0
1543523917.2609038,2081,200.0
1543523917.477561,2084,200.0
1543523917.530466,2085,124.0
1543523917.82689,2089,144.0
1543523918.155134,2094,157.0
1543523918.312667,2096,200.0
1543523918.8405771,2102,200.0
1543523918.927691,2103,200.0
1543523919.014029,2104,200.0
1543523919.104735,2105,200.0
1543523919.189066,2106,200.0
1543523919.432342,2109,200.0
1543523919.5788531,2111,200.0
1543523919.8493068,2115,200.0
1543523920.0696661,2118,200.0
1543523920.2144551,2120,200.0
1543523920.365182,2122,196.0
1543523920.437611,2123,200.0
1543523920.510817,2124,200.0
1543523920.804384,2128,200.0
1543523920.977907,2132,56.0
1543523921.040777,2133,168.0
1543523921.1099432,2134,185.0
1543523921.355384,2138,112.0
1543523921.442258,2139,200.0
1543523921.587717,2141,200.0
1543523921.647437,2142,129.0
1543523921.7933939,2144,200.0
1543523921.86783,2145,200.0
1543523921.940057,2146,200.0
1543523922.085383,2148,200.0
1543523922.1599202,2149,200.0
1543523922.251015,2151,200.0
1543523922.483537,2154,200.0
1543523922.63082,2156,200.0
1543523922.7013729,2157,160.0
1543523923.134368,2163,200.0
1543523923.211377,2164,200.0
1543523923.297044,2165,200.0
1543523923.5701408,2169,184.0
1543523923.723397,2171,200.0
1543523923.872336,2173,200.0
1543523924.173548,2177,200.0
1543523924.918064,2187,200.0
1543523925.065257,2189,200.0
1543523925.191639,2191,120.0
1543523925.2651699,2192,200.0
1543523925.5517938,2196,200.0
1543523925.709142,2198,200.0
1543523925.782777,2199,200.0
1543523925.856506,2200,200.0
1543523926.051158,2203,200.0
1543523926.343912,2207,118.0
1543523926.42414,2208,200.0
1543523926.676037,2211,200.0
1543523926.9099782,2214,200.0
1543523927.705684,2224,171.0
1543523927.8047302,2225,200.0
1543523928.069695,2228,159.0
1543523928.154049,2229,200.0
1543523928.294364,2231,200.0
1543523928.558332,2234,200.0
1543523928.713493,2236,200.0
1543523928.784448,2237,200.0
1543523928.931415,2239,200.0
1543523929.004564,2240,200.0
1543523929.085378,2241,200.0
1543523929.158588,2242,200.0
1543523929.304458,2244,200.0
1543523929.4539788,2246,200.0
1543523929.530647,2247,200.0
1543523929.791451,2251,200.0
1543523929.859405,2252,178.0
1543523930.005646,2254,200.0
1543523930.224242,2257,189.0
1543523930.628334,2262,200.0
1543523931.472147,2274,200.0
1543523931.740938,2278,200.0
1543523931.942822,2281,200.0
1543523932.3907342,2286,200.0
1543523932.541495,2288,200.0
1543523932.835159,2291,200.0
1543523933.3045068,2297,200.0
1543523933.378231,2298,200.0
1543523933.532439,2300,200.0
1543523933.7262511,2303,151.0
1543523933.9309099,2306,163.0
1543523933.950324,2307,18.0
1543523934.02009,2308,200.0
1543523934.654974,2317,200.0
1543523934.726382,2318,200.0
1543523934.797847,2319,200.0
1543523934.87268,2320,200.0
1543523935.017065,2322,200.0
1543523935.1598148,2324,200.0
1543523935.3657181,2327,200.0
1543523935.7462242,2332,200.0
1543523935.890013,2334,200.0
1543523935.962213,2335,200.0
1543523936.033212,2336,200.0
1543523936.104374,2337,200.0
1543523936.7071612,2345,200.0
1543523937.484431,2354,200.0
1543523937.888452,2359,200.0
1543523938.53684,2367,200.0
1543523938.6150138,2368,200.0
1543523938.862241,2371,200.0
1543523939.246654,2375,200.0
1543523939.787076,2382,200.0
1543523940.0211468,2385,200.0
1543523940.241057,2388,200.0
1543523940.314168,2389,200.0
1543523940.38181,2390,183.0
1543523940.539823,2392,200.0
1543523941.135916,2400,200.0
1543523941.241428,2402,200.0
1543523941.391317,2404,200.0
1543523941.5393531,2406,200.0
1543523942.184279,2416,200.0
1543523942.804569,2424,200.0
1543523942.878488,2425,200.0
1543523942.9521952,2426,200.0
1543523943.237281,2430,200.0
1543523943.693125,2436,200.0
1543523944.24131,2444,200.0
1543523944.662148,2450,200.0
1543523944.719338,2451,123.0
1543523944.799259,2452,200.0
1543523944.874829,2453,200.0
1543523944.9856582,2455,75.0
1543523945.117433,2457,145.0
1543523945.319627,2460,200.0
1543523945.721455,2466,200.0
1543523945.864665,2468,200.0
1543523946.283065,2475,200.0
1543523946.538408,2479,200.0
1543523946.68837,2481,200.0
1543523946.988904,2485,200.0
1543523947.061971,2486,200.0
1543523947.1964931,2488,171.0
1543523947.5177448,2493,177.0
1543523947.682133,2496,21.0
1543523947.825909,2498,200.0
1543523948.042767,2501,200.0
1543523948.114669,2502,200.0
1543523948.186326,2503,200.0
1543523948.93278,2513,200.0
1543523949.054301,2514,200.0
1543523949.211495,2516,200.0
1543523949.2844532,2517,200.0
1543523949.367299,2518,194.0
1543523949.457827,2519,200.0
1543523949.676199,2522,200.0
1543523949.7494662,2523,200.0
1543523949.898796,2525,200.0
1543523950.1560729,2528,200.0
1543523950.301445,2530,200.0
1543523950.469481,2532,200.0
1543523950.630472,2534,200.0
1543523951.294334,2543,200.0
1543523951.601017,2547,200.0
1543523951.754575,2549,200.0
1543523951.902493,2551,200.0
1543523952.049501,2553,200.0
1543523952.197012,2555,200.0
1543523952.2779782,2556,200.0
1543523952.503358,2559,200.0
